monthly_sales,category_code,seasonally_adjusted,data_type_code,time,category_name,high_level_category
8728,442,False,SM,2017-04-01,Furniture and Home Furnishings Stores,Retail Trade
368510,44Y72,False,SM,2017-04-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
39458,447,False,SM,2017-04-01,Gasoline Stations,Retail Trade
25816,446,False,SM,2017-04-01,Health and Personal Care Stores,Retail Trade
105656,441,False,SM,2017-05-01,Motor Vehicle and Parts Dealers,Retail Trade
11211,453,False,SM,2017-05-01,Miscellaneous Store Retailers,Retail Trade
494662,44X72,False,SM,2017-05-01,Retail Trade and Food Services,Retail and Food Services
56619,452,False,SM,2017-05-01,General Merchandise Stores,Retail Trade
434531,44000,False,SM,2017-05-01,Retail Trade,Retail Trade
35616,444,False,SM,2017-05-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
11853,4521E,False,SM,2017-05-01,Department Stores,Retail Trade
7159,443,False,SM,2017-05-01,Electronics and Appliance Stores,Retail Trade
389006,44Y72,False,SM,2017-05-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
41292,447,False,SM,2017-05-01,Gasoline Stations,Retail Trade
62133,445,False,SM,2017-05-01,Food and Beverage Stores,Retail Trade
97517,441X,False,SM,2017-05-01,Auto and Other Motor Vehicles,Retail Trade
453370,44Z72,False,SM,2017-05-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
9575,442,False,SM,2017-05-01,Furniture and Home Furnishings Stores,Retail Trade
55730,4451,False,SM,2017-05-01,Grocery Stores,Retail Trade
6565,451,False,SM,2017-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
60131,722,False,SM,2017-05-01,Food Services and Drinking Places,Food Services
347714,44W72,False,SM,2017-05-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
49357,454,False,SM,2017-05-01,Nonstore Retailers,Nonstore Trade
21962,448,False,SM,2017-05-01,Clothing and Accessories Stores,Retail Trade
27386,446,False,SM,2017-05-01,Health and Personal Care Stores,Retail Trade
47769,454,False,SM,2017-06-01,Nonstore Retailers,Nonstore Trade
60561,445,False,SM,2017-06-01,Food and Beverage Stores,Retail Trade
379160,44Y72,False,SM,2017-06-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
58666,722,False,SM,2017-06-01,Food Services and Drinking Places,Food Services
94454,441X,False,SM,2017-06-01,Auto and Other Motor Vehicles,Retail Trade
40494,447,False,SM,2017-06-01,Gasoline Stations,Retail Trade
7230,443,False,SM,2017-06-01,Electronics and Appliance Stores,Retail Trade
6727,451,False,SM,2017-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
423102,44000,False,SM,2017-06-01,Retail Trade,Retail Trade
20632,448,False,SM,2017-06-01,Clothing and Accessories Stores,Retail Trade
10522,453,False,SM,2017-06-01,Miscellaneous Store Retailers,Retail Trade
102608,441,False,SM,2017-06-01,Motor Vehicle and Parts Dealers,Retail Trade
338666,44W72,False,SM,2017-06-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
54206,4451,False,SM,2017-06-01,Grocery Stores,Retail Trade
56740,452,False,SM,2017-06-01,General Merchandise Stores,Retail Trade
33427,444,False,SM,2017-06-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
11595,4521E,False,SM,2017-06-01,Department Stores,Retail Trade
441274,44Z72,False,SM,2017-06-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
26869,446,False,SM,2017-06-01,Health and Personal Care Stores,Retail Trade
9523,442,False,SM,2017-06-01,Furniture and Home Furnishings Stores,Retail Trade
481768,44X72,False,SM,2017-06-01,Retail Trade and Food Services,Retail and Food Services
416927,44000,False,SM,2017-07-01,Retail Trade,Retail Trade
11328,4521E,False,SM,2017-07-01,Department Stores,Retail Trade
373160,44Y72,False,SM,2017-07-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
30054,444,False,SM,2017-07-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
40215,447,False,SM,2017-07-01,Gasoline Stations,Retail Trade
102230,441,False,SM,2017-07-01,Motor Vehicle and Parts Dealers,Retail Trade
61621,445,False,SM,2017-07-01,Food and Beverage Stores,Retail Trade
46399,454,False,SM,2017-07-01,Nonstore Retailers,Nonstore Trade
94324,441X,False,SM,2017-07-01,Auto and Other Motor Vehicles,Retail Trade
55168,4451,False,SM,2017-07-01,Grocery Stores,Retail Trade
332945,44W72,False,SM,2017-07-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
58463,722,False,SM,2017-07-01,Food Services and Drinking Places,Food Services
475390,44X72,False,SM,2017-07-01,Retail Trade and Food Services,Retail and Food Services
6506,451,False,SM,2017-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
435175,44Z72,False,SM,2017-07-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
20803,448,False,SM,2017-07-01,Clothing and Accessories Stores,Retail Trade
56375,452,False,SM,2017-07-01,General Merchandise Stores,Retail Trade
9396,442,False,SM,2017-07-01,Furniture and Home Furnishings Stores,Retail Trade
10264,453,False,SM,2017-07-01,Miscellaneous Store Retailers,Retail Trade
7074,443,False,SM,2017-07-01,Electronics and Appliance Stores,Retail Trade
25990,446,False,SM,2017-07-01,Health and Personal Care Stores,Retail Trade
55083,4451,False,SM,2017-08-01,Grocery Stores,Retail Trade
385540,44Y72,False,SM,2017-08-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
7648,451,False,SM,2017-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
448687,44Z72,False,SM,2017-08-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
30302,444,False,SM,2017-08-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
41638,447,False,SM,2017-08-01,Gasoline Stations,Retail Trade
27639,446,False,SM,2017-08-01,Health and Personal Care Stores,Retail Trade
104785,441,False,SM,2017-08-01,Motor Vehicle and Parts Dealers,Retail Trade
343902,44W72,False,SM,2017-08-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
7470,443,False,SM,2017-08-01,Electronics and Appliance Stores,Retail Trade
58509,722,False,SM,2017-08-01,Food Services and Drinking Places,Food Services
10031,442,False,SM,2017-08-01,Furniture and Home Furnishings Stores,Retail Trade
490325,44X72,False,SM,2017-08-01,Retail Trade and Food Services,Retail and Food Services
22774,448,False,SM,2017-08-01,Clothing and Accessories Stores,Retail Trade
