monthly_sales,category_code,time,category_name,high_level_category,is_subset,cv
4592.0,4453,2018-05-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873
16711.0,4481,2018-05-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107
47311.0,4529,2018-05-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052
44044.0,447,2018-05-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362
356111.0,44W72,2018-05-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234
3460.0,44812,2018-05-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283
23464.0,44611,2018-05-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238
456886.0,44Z72,2018-05-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524
28397.0,446,2018-05-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862
59624.0,452,2018-05-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407
60839.0,722,2018-05-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256
339316.0,4400A,2018-05-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359
9925.0,442,2018-05-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764
12313.0,4521E,2018-05-01,Department Stores,Department Stores,False,0.08625376047961941
17832.0,4423X,2018-05-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385
6498.0,45299,2018-05-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059
3128.0,4482,2018-05-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816
27017.0,4441,2018-05-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988
100775.0,441,2018-05-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332
62439.0,445,2018-05-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656
7907.0,443,2018-05-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352
92817.0,441X,2018-05-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178
30643.0,444,2018-05-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784
783.0,44811,2018-05-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098
109779.0,4400C,2018-05-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685
10854.0,453,2018-05-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801
40813.0,45291,2018-05-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292
400155.0,44Y72,2018-05-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675
55657.0,454,2018-05-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308
2719.0,44831,2018-05-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883
440091.0,44000,2018-05-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272
22766.0,448,2018-05-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514
55897.0,4451,2018-05-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436
48026.0,4541,2018-05-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212
500930.0,44X72,2018-05-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846
7060.0,451,2018-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443
48449.0,4541,2018-06-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212
6851.0,451,2018-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443
455407.0,44Z72,2018-06-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524
499218.0,44X72,2018-06-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846
3316.0,44812,2018-06-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283
3081.0,4482,2018-06-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816
779.0,44811,2018-06-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098
2733.0,44831,2018-06-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883
16171.0,4481,2018-06-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107
355016.0,44W72,2018-06-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234
100391.0,441,2018-06-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332
398827.0,44Y72,2018-06-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675
40361.0,45291,2018-06-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292
9948.0,442,2018-06-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764
108001.0,4400C,2018-06-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685
31162.0,444,2018-06-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784
7944.0,443,2018-06-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352
10782.0,453,2018-06-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801
62198.0,445,2018-06-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656
437762.0,44000,2018-06-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272
22192.0,448,2018-06-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514
46778.0,4529,2018-06-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052
92479.0,441X,2018-06-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178
17892.0,4423X,2018-06-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385
27485.0,4441,2018-06-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988
2920.0,45431,2018-06-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976
337371.0,4400A,2018-06-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359
55696.0,4451,2018-06-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436
6417.0,45299,2018-06-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059
7912.0,4413,2018-06-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359
55803.0,454,2018-06-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308
4563.0,4453,2018-06-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873
43811.0,447,2018-06-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362
58575.0,452,2018-06-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407
11797.0,4521E,2018-06-01,Department Stores,Department Stores,False,0.08625376047961941
23120.0,44611,2018-06-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238
61456.0,722,2018-06-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256
28105.0,446,2018-06-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862
7980.0,4413,2018-07-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359
6468.0,45299,2018-07-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059
62231.0,722,2018-07-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256
7843.0,443,2018-07-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352
6544.0,451,2018-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443
2700.0,44831,2018-07-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883
22495.0,448,2018-07-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514
10422.0,453,2018-07-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801
458259.0,44Z72,2018-07-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524
3298.0,44812,2018-07-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283
108355.0,4400C,2018-07-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685
56769.0,454,2018-07-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308
17863.0,4423X,2018-07-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385
43996.0,447,2018-07-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362
28247.0,446,2018-07-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862
3212.0,4482,2018-07-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816
27553.0,4441,2018-07-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988
40603.0,45291,2018-07-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292
58934.0,452,2018-07-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407
49235.0,4541,2018-07-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212
23336.0,44611,2018-07-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238
4596.0,4453,2018-07-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873
16384.0,4481,2018-07-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107
357382.0,44W72,2018-07-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234
11863.0,4521E,2018-07-01,Department Stores,Department Stores,False,0.08625376047961941
56057.0,4451,2018-07-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436
10020.0,442,2018-07-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764
92897.0,441X,2018-07-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178
765.0,44811,2018-07-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098
339147.0,4400A,2018-07-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359
47071.0,4529,2018-07-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052
502255.0,44X72,2018-07-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846
440024.0,44000,2018-07-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272
31279.0,444,2018-07-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784
401378.0,44Y72,2018-07-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675
62598.0,445,2018-07-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656
100877.0,441,2018-07-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332
3055.0,45431,2018-07-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976
10614.0,453,2018-08-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801
357231.0,44W72,2018-08-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234
58998.0,452,2018-08-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407
56962.0,454,2018-08-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308
62523.0,722,2018-08-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256
47238.0,4529,2018-08-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052
11760.0,4521E,2018-08-01,Department Stores,Department Stores,False,0.08625376047961941
457281.0,44Z72,2018-08-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524
49452.0,4541,2018-08-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212
3025.0,45431,2018-08-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976
40692.0,45291,2018-08-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292
501962.0,44X72,2018-08-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846
2677.0,44831,2018-08-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883
6546.0,45299,2018-08-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059
772.0,44811,2018-08-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098
55937.0,4451,2018-08-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436
16213.0,4481,2018-08-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107
9878.0,442,2018-08-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764
439439.0,44000,2018-08-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272
23587.0,44611,2018-08-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238
17776.0,4423X,2018-08-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385
4550.0,4453,2018-08-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873
28478.0,446,2018-08-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862
401912.0,44Y72,2018-08-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675
92105.0,441X,2018-08-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178
7945.0,4413,2018-08-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359
107845.0,4400C,2018-08-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685
6479.0,451,2018-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443
22061.0,448,2018-08-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514
44681.0,447,2018-08-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362
62430.0,445,2018-08-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656
27005.0,4441,2018-08-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988
3347.0,44812,2018-08-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283
100050.0,441,2018-08-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332
7898.0,443,2018-08-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352
30910.0,444,2018-08-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784
339389.0,4400A,2018-08-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359
2978.0,4482,2018-08-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816
40577.0,45291,2018-09-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292
339466.0,4400A,2018-09-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359
27118.0,4441,2018-09-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988
57665.0,454,2018-09-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308
6613.0,45299,2018-09-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059
58786.0,452,2018-09-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407
107252.0,4400C,2018-09-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685
7753.0,443,2018-09-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352
9868.0,442,2018-09-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764
28379.0,446,2018-09-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862
21941.0,448,2018-09-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514
47190.0,4529,2018-09-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052
62775.0,445,2018-09-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656
11596.0,4521E,2018-09-01,Department Stores,Department Stores,False,0.08625376047961941
61153.0,722,2018-09-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256
56177.0,4451,2018-09-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436
91395.0,441X,2018-09-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178
31106.0,444,2018-09-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784
4624.0,4453,2018-09-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873
10631.0,453,2018-09-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801
23426.0,44611,2018-09-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238
356441.0,44W72,2018-09-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234
50114.0,4541,2018-09-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212
400619.0,44Y72,2018-09-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675
2578.0,44831,2018-09-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883
6384.0,451,2018-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443
3003.0,45431,2018-09-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976
500033.0,44X72,2018-09-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846
3040.0,4482,2018-09-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816
99414.0,441,2018-09-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332
768.0,44811,2018-09-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098
8019.0,4413,2018-09-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359
455855.0,44Z72,2018-09-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524
44178.0,447,2018-09-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362
3346.0,44812,2018-09-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283
16133.0,4481,2018-09-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107
17621.0,4423X,2018-09-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385
438880.0,44000,2018-09-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272
459751.0,44Z72,2018-10-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524
40934.0,45291,2018-10-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292
7797.0,443,2018-10-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352
61698.0,722,2018-10-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256
2698.0,44831,2018-10-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883
3430.0,44812,2018-10-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283
108378.0,4400C,2018-10-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685
6380.0,451,2018-10-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443
50198.0,4541,2018-10-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212
27431.0,4441,2018-10-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988
22407.0,448,2018-10-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514
3164.0,4482,2018-10-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816
3148.0,45431,2018-10-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976
63058.0,445,2018-10-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656
31608.0,444,2018-10-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784
92093.0,441X,2018-10-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178
359660.0,44W72,2018-10-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234
443924.0,44000,2018-10-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272
9915.0,442,2018-10-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764
16358.0,4481,2018-10-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107
23675.0,44611,2018-10-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238
17712.0,4423X,2018-10-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385
59320.0,452,2018-10-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407
58016.0,454,2018-10-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308
28595.0,446,2018-10-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862
405531.0,44Y72,2018-10-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675
4652.0,4453,2018-10-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873
47591.0,4529,2018-10-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052
768.0,44811,2018-10-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098
10866.0,453,2018-10-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801
45871.0,447,2018-10-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362
56408.0,4451,2018-10-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436
505622.0,44X72,2018-10-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846
343833.0,4400A,2018-10-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359
100091.0,441,2018-10-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332
7998.0,4413,2018-10-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359
11729.0,4521E,2018-10-01,Department Stores,Department Stores,False,0.08625376047961941
6657.0,45299,2018-10-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059
3013.0,45431,2018-11-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976
344725.0,4400A,2018-11-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359
22464.0,448,2018-11-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514
29102.0,446,2018-11-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862
10863.0,453,2018-11-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801
17698.0,4423X,2018-11-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385
6940.0,45299,2018-11-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059
7971.0,4413,2018-11-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359
3503.0,44812,2018-11-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283
61431.0,722,2018-11-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256
3180.0,4482,2018-11-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816
463748.0,44Z72,2018-11-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524
6428.0,451,2018-11-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443
2671.0,44831,2018-11-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883
406156.0,44Y72,2018-11-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675
780.0,44811,2018-11-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098
507278.0,44X72,2018-11-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846
101122.0,441,2018-11-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332
16418.0,4481,2018-11-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107
362626.0,44W72,2018-11-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234
9928.0,442,2018-11-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764
24069.0,44611,2018-11-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238
60005.0,452,2018-11-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407
7770.0,443,2018-11-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352
48132.0,4529,2018-11-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052
43530.0,447,2018-11-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362
56569.0,4451,2018-11-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436
26975.0,4441,2018-11-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988
52591.0,4541,2018-11-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212
60461.0,454,2018-11-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308
30952.0,444,2018-11-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784
109160.0,4400C,2018-11-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685
