Indent Level,Expenditure category,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10
1,All items less food,241.994,242.791,242.962,243.708,243.906,244.218,243.937,244.74,246.163,245.926,246.009,245.785,247.161,248.469,249.102,250.117,251.333,251.775,251.716,251.827,252.116,252.636,251.657,250.605,250.974,252.077,253.643,255.194,255.759,255.825,256.286,256.25,256.401,256.973,256.839,256.516,257.476,258.165,257.382,254.746,254.486,255.9,257.553,258.465,258.871,258.891,258.826,258.959,260.098,261.688,263.775,266.093,268.394,270.975,272.186,272.68,273.165,275.379,276.747,277.506,279.782,282.281,286.196,287.595,290.76,294.924,294.363,293.893,294.286,295.344,294.918,293.722,296.105,297.808,298.906,300.552,301.327,302.406,302.932,304.376,305.162,304.877,304.249,303.866,305.5,307.628,309.882,311.182,311.714,311.75,312.042,312.308,312.692,313.021
1,All items less shelter,225.699,226.424,226.469,227.223,227.205,227.149,226.729,227.274,228.825,228.218,228.096,227.582,229.08,230.358,230.692,231.735,232.727,233.054,232.755,232.615,232.868,233.231,231.856,230.492,230.765,231.792,233.29,234.723,235.131,234.791,235.071,234.853,234.802,235.538,235.162,234.656,235.553,236.084,235.184,232.86,232.598,234.316,235.82,236.785,237.237,237.328,237.052,237.289,238.594,240.288,242.43,244.958,247.484,250.261,251.473,252.072,252.664,255.337,256.714,257.431,260.156,262.949,267.42,268.974,272.55,277.194,276.416,275.409,275.381,276.154,274.96,272.711,274.976,276.174,276.61,278.101,278.336,279.002,279.181,280.663,280.869,280.313,278.876,277.848,279.224,281.119,283.05,284.224,284.261,284.023,284.01,283.681,284.044,284.092
1,All items less food and shelter,219.777,220.539,220.508,221.301,221.215,221.23,220.586,221.191,222.978,222.148,222.111,221.397,222.971,224.545,224.927,226.011,227.24,227.608,227.132,226.89,227.127,227.577,225.902,224.062,224.129,225.199,226.909,228.655,229.061,228.659,228.952,228.658,228.479,229.222,228.802,228.109,228.926,229.39,228.099,224.331,223.627,225.426,227.475,228.608,229.142,229.102,228.936,229.01,230.398,232.376,234.896,237.7,240.537,243.483,244.528,245.033,245.218,247.875,249.264,249.81,252.505,255.235,260.018,261.255,264.868,269.845,268.146,266.417,265.891,266.355,264.792,261.854,264.101,265.242,265.706,267.358,267.496,268.236,268.245,269.913,270.034,269.14,267.522,266.227,267.478,269.695,271.975,273.263,273.211,272.791,272.587,272.145,272.293,272.22
1,"All items less food, shelter, and energy",225.903,227.066,226.956,227.133,226.984,226.73,226.339,226.459,226.824,227.349,226.928,226.578,227.726,229.09,229.717,229.888,229.929,229.953,229.748,229.489,229.91,230.517,230.278,229.872,230.902,231.788,232.222,232.38,232.28,232.585,232.735,233.367,233.432,234.15,233.955,233.426,234.373,235.659,235.539,233.74,232.916,233.39,235.111,236.485,236.874,237.207,237.342,236.831,237.329,238.376,239.333,242.101,244.439,247.036,247.614,247.913,247.878,249.864,250.894,251.992,254.448,256.529,257.366,258.776,260.146,262.195,262.628,263.732,264.37,264.442,263.771,263.147,264.519,266.085,267.003,268.292,268.97,269.235,269.102,269.642,269.536,269.858,269.409,269.032,270.329,272.011,273.345,273.967,274.001,274.04,273.621,273.907,275.128,275.491
1,"All items less food, shelter, energy, and used cars and trucks",231.328,232.534,232.304,232.396,232.219,232.013,231.632,231.773,232.332,232.991,232.615,232.147,233.347,234.707,235.187,235.421,235.546,235.517,235.146,234.829,235.84,236.373,235.969,235.524,236.57,237.48,237.836,238.012,238.051,238.2,238.181,238.745,239.317,240.116,239.999,239.454,240.588,241.844,241.387,239.563,238.773,239.436,240.841,241.498,241.605,241.816,242.169,241.759,242.424,243.504,244.174,245.687,247.125,247.993,248.462,249.078,249.78,251.429,252.043,252.533,254.861,256.942,258.321,260.02,261.361,263.065,263.458,264.767,266.55,267.191,267.127,266.999,268.746,270.667,271.501,272.145,272.328,272.397,272.288,273.124,274.002,274.583,273.983,273.566,275.444,277.195,278.554,279.271,279.247,279.245,278.941,279.345,280.655,280.994
1,All items less medical care,231.859,232.526,232.732,233.531,233.752,233.945,233.688,234.419,235.793,235.602,235.605,235.426,236.677,237.767,238.305,239.339,240.391,240.756,240.812,241.006,241.287,241.728,240.766,239.9,240.27,241.335,242.776,244.134,244.629,244.653,245,244.836,245.02,245.418,245.206,244.861,245.789,246.445,245.778,243.907,243.812,245.207,246.479,247.304,247.719,247.916,247.79,248.096,249.098,250.497,252.421,254.703,256.971,259.628,260.938,261.479,262.275,264.53,265.889,266.729,268.947,271.543,275.372,276.967,280.207,284.253,284.084,283.794,284.324,285.69,285.524,284.562,287.019,288.849,289.965,291.585,292.373,293.396,294.037,295.367,296.147,295.963,295.225,294.829,296.402,298.395,300.366,301.559,301.981,302.043,302.482,302.733,303.175,303.479
1,All items less energy,249.115,250.097,250.277,250.662,250.866,250.965,250.981,251.467,251.95,252.597,252.4,252.51,253.594,254.555,255.275,255.75,256.112,256.325,256.545,256.717,257.118,257.653,257.692,257.794,258.855,259.817,260.505,260.925,261.203,261.696,262.059,262.592,262.969,263.527,263.545,263.45,264.54,265.734,265.896,265.465,265.471,266.097,267.149,268.073,268.338,268.671,268.68,268.613,269.199,270.06,270.989,273.092,274.891,277.161,278.235,278.691,279.366,281.238,282.397,283.593,285.779,287.972,289.456,291.199,293.092,295.378,296.702,298.346,299.749,300.807,301.126,301.705,303.612,305.57,306.869,308.189,309.312,310.054,310.611,311.293,311.99,312.616,312.732,313.024,314.764,316.361,317.836,318.689,319.309,319.712,320.012,320.728,321.85,322.49
1,Commodities,180.298,180.607,181.136,182.041,181.489,180.72,180.043,180.763,182.903,182.116,181.847,180.946,182.434,183.385,183.78,185.271,186.199,185.965,185.531,185.366,185.571,186.071,184.077,181.754,181.815,183.001,184.993,186.884,187.236,186.112,186.319,185.686,185.508,186.012,185.186,184.441,185.055,185.331,184.364,182.141,182.064,183.619,184.59,185.83,186.434,186.502,185.594,186.063,187.79,189.402,191.877,194.456,197.117,200.209,201.615,202.496,203.313,206.134,207.708,208.602,210.918,213.96,219.057,219.647,223.076,227.423,226.11,223.891,222.678,223.747,222.112,218.607,220.468,221.731,222.457,224.216,224.515,224.764,224.698,226.161,225.866,224.696,222.008,220.324,220.683,222.289,223.766,224.926,224.786,223.956,223.899,223.363,223.014,222.483
2,"Commodities less food, energy, and used cars and trucks",145.843,146.655,146.911,146.909,146.267,145.761,145.076,145.074,145.584,145.926,144.942,144.064,144.884,145.851,146.274,146.444,146.126,145.458,144.792,144.432,145.35,145.724,144.816,144.001,145.104,145.854,146.12,145.964,145.74,145.462,145.166,145.392,145.933,145.948,145.111,144.23,145.098,146.126,145.767,144.685,144.091,144.249,144.465,145.171,145.512,145.476,145.197,144.915,145.857,146.418,146.59,147.536,148.545,149.161,149.603,150.858,152.127,153.483,153.738,154.329,156.318,157.87,158.413,158.714,159.204,159.892,160.175,161.371,162.325,162.553,161.993,161.642,163.174,164.512,165.102,165.056,165.049,164.853,164.254,164.62,164.988,164.879,163.154,162.267,163.295,164.21,164.254,164.141,163.893,163.759,163.244,163.472,164.171,163.609
2,Commodities less food,149.911,150.122,150.691,151.688,150.852,149.96,148.853,149.711,152.38,151.197,151.017,149.683,151.229,152.487,152.962,154.606,155.839,155.493,154.761,154.439,154.598,155.254,152.676,149.403,149.079,150.341,152.742,155.187,155.507,154.073,154.27,153.408,153.002,153.421,152.412,151.332,151.711,151.792,150.257,146.008,145.341,146.906,148.471,150.007,150.761,150.625,149.704,149.989,151.918,153.865,156.922,159.832,162.903,166.238,167.412,168.214,168.472,171.217,172.817,173.484,175.53,178.425,183.946,183.754,187.042,191.593,188.836,185.295,183.048,183.714,181.48,176.74,178.367,179.508,180.326,182.309,182.475,182.692,182.317,183.968,183.416,181.643,178.456,176.282,176.114,178.043,179.838,181.119,180.794,179.536,179.184,178.434,177.549,176.673
