monthly_sales,category_code,time,category_name,high_level_category,is_subset
674.0,451211,2017-02-01,Book Stores,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
45935.0,7225,2017-02-01,Restaurants and Other Eating Places,Food Services and Drinking Places,True
972.0,45321,2017-02-01,Office Supplies and Stationery Stores,Miscellaneous Store Retailers,True
5436.0,443142,2017-02-01,Electronics Stores,Electronics and Appliance Stores,True
20566.0,44611,2017-02-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True
1181.0,45112,2017-02-01,"Hobby, Toy, and Game Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
1979.0,442299,2017-02-01,All Other Home Furnishings Stores,Furniture and Home Furnishings Stores,True
8376.0,442,2017-02-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
18036.0,448,2017-02-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
6643.0,452112E,2017-02-01,Discount Department Stores,Department Stores,True
1286.0,443141,2017-02-01,Household Appliance Stores,Electronics and Appliance Stores,True
294723.0,44W72,2017-02-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True
24675.0,446,2017-02-01,Health and Personal Care Stores,Health and Personal Care Stores,False
34254.0,45291,2017-02-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True
4755.0,4421,2017-02-01,Furniture Stores,Furniture and Home Furnishings Stores,True
3041.0,45111,2017-02-01,Sporting Goods Stores,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
49639.0,452,2017-02-01,General Merchandise Stores,General Merchandise Stores,False
5559.0,451,2017-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
9773.0,44112,2017-02-01,Used Car Dealers,Motor Vehicle and Parts Dealers,True
6722.0,443,2017-02-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False
1694.0,44413,2017-02-01,Hardware Stores,Building Material and Garden Equipment and Supplies Dealers,True
5413.0,45299,2017-02-01,All Other General Merchandise Stores,Other General Merchandise Stores,True
1446.0,44819,2017-02-01,Other Clothing Stores,Clothing and Clothing Accessories Stores,True
39667.0,4529,2017-02-01,Other General Merchandise Stores,Other General Merchandise Stores,False
1250.0,45330,2017-02-01,Used Merchandise Stores,Miscellaneous Store Retailers,True
43117.0,454,2017-02-01,Nonstore Retailers,Nonstore Retailers,False
52791.0,722,2017-02-01,Food Services and Drinking Places,Food Services and Drinking Places,False
67955.0,44111,2017-02-01,New Car Dealers,Motor Vehicle and Parts Dealers,True
328927.0,44Y72,2017-02-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True
3621.0,4422,2017-02-01,Home Furnishings Stores,Furniture and Home Furnishings Stores,True
49231.0,4451,2017-02-01,Grocery Stores,Food and Beverage Stores,True
2681.0,4482,2017-02-01,Shoe Stores,Clothing and Clothing Accessories Stores,True
647.0,44811,2017-02-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True
15098.0,4423X,2017-02-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
1089.0,45322,2017-02-01,"Gift, Novelty, and Souvenir Stores",Miscellaneous Store Retailers,True
34204.0,447,2017-02-01,Gasoline Stations,Gasoline Stations,False
2440.0,44831,2017-02-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True
35952.0,4541,2017-02-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True
3609.0,4453,2017-02-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True
8809.0,453,2017-02-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
82526.0,441X,2017-02-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True
