cell_value,time_slot_id,data_type_code,category_code,error_data,seasonally_adj,data_type_code,time,us
26390,0,SM,446,no,yes,SM,2017-02,1
26545,0,SM,446,no,yes,SM,2017-03,1
26725,0,SM,446,no,yes,SM,2017-04,1
26823,0,SM,446,no,yes,SM,2017-05,1
27004,0,SM,446,no,yes,SM,2017-06,1
27101,0,SM,446,no,yes,SM,2017-07,1
27365,0,SM,446,no,yes,SM,2017-08,1
27427,0,SM,446,no,yes,SM,2017-09,1
27594,0,SM,446,no,yes,SM,2017-10,1
27746,0,SM,446,no,yes,SM,2017-11,1
27615,0,SM,446,no,yes,SM,2017-12,1
7682,0,SM,443,no,yes,SM,2017-01,1
7613,0,SM,443,no,yes,SM,2017-02,1
7796,0,SM,443,no,yes,SM,2017-03,1
7865,0,SM,443,no,yes,SM,2017-04,1
7739,0,SM,443,no,yes,SM,2017-05,1
7651,0,SM,443,no,yes,SM,2017-06,1
7582,0,SM,443,no,yes,SM,2017-07,1
7576,0,SM,443,no,yes,SM,2017-08,1
7645,0,SM,443,no,yes,SM,2017-09,1
7695,0,SM,443,no,yes,SM,2017-10,1
7904,0,SM,443,no,yes,SM,2017-11,1
7798,0,SM,443,no,yes,SM,2017-12,1
59565,0,SM,445,no,yes,SM,2017-01,1
60346,0,SM,445,no,yes,SM,2017-03,1
60480,0,SM,445,no,yes,SM,2017-04,1
60621,0,SM,445,no,yes,SM,2017-05,1
60423,0,SM,445,no,yes,SM,2017-06,1
60397,0,SM,445,no,yes,SM,2017-07,1
61321,0,SM,445,no,yes,SM,2017-09,1
61600,0,SM,445,no,yes,SM,2017-10,1
61678,0,SM,445,no,yes,SM,2017-11,1
62306,0,SM,445,no,yes,SM,2017-12,1
4324,0,SM,4453,no,yes,SM,2017-01,1
4302,0,SM,4453,no,yes,SM,2017-02,1
4318,0,SM,4453,no,yes,SM,2017-03,1
4367,0,SM,4453,no,yes,SM,2017-04,1
4378,0,SM,4453,no,yes,SM,2017-05,1
4373,0,SM,4453,no,yes,SM,2017-06,1
4371,0,SM,4453,no,yes,SM,2017-07,1
4398,0,SM,4453,no,yes,SM,2017-08,1
4410,0,SM,4453,no,yes,SM,2017-09,1
4485,0,SM,4453,no,yes,SM,2017-10,1
4484,0,SM,4453,no,yes,SM,2017-11,1
4461,0,SM,4453,no,yes,SM,2017-12,1
