monthly_sales,category_code,time,category_name,high_level_category
414253,44000,2017-05-01,Retail Trade,Retail Trade
60621,445,2017-05-01,Food and Beverage Stores,Retail Trade
471630,44X72,2017-05-01,Retail Trade and Food Services,Retail and Food Services
54318,4451,2017-05-01,Grocery Stores,Retail Trade
38127,447,2017-05-01,Gasoline Stations,Retail Trade
49760,454,2017-05-01,Nonstore Retailers,Nonstore Trade
12258,4521E,2017-05-01,Department Stores,Retail Trade
373836,44Y72,2017-05-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
26823,446,2017-05-01,Health and Personal Care Stores,Retail Trade
7739,443,2017-05-01,Electronics and Appliance Stores,Retail Trade
9490,442,2017-05-01,Furniture and Home Furnishings Stores,Retail Trade
56512,452,2017-05-01,General Merchandise Stores,Retail Trade
90043,441X,2017-05-01,Auto and Other Motor Vehicles,Retail Trade
10070,453,2017-05-01,Miscellaneous Store Retailers,Retail Trade
37460,447,2017-06-01,Gasoline Stations,Retail Trade
98710,441,2017-06-01,Motor Vehicle and Parts Dealers,Retail Trade
50181,454,2017-06-01,Nonstore Retailers,Nonstore Trade
21777,448,2017-06-01,Clothing and Accessories Stores,Retail Trade
374836,44Y72,2017-06-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
12289,4521E,2017-06-01,Department Stores,Retail Trade
28784,444,2017-06-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
6971,451,2017-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
57291,722,2017-06-01,Food Services and Drinking Places,Food Services
54152,4451,2017-06-01,Grocery Stores,Retail Trade
60423,445,2017-06-01,Food and Beverage Stores,Retail Trade
9580,442,2017-06-01,Furniture and Home Furnishings Stores,Retail Trade
10050,453,2017-06-01,Miscellaneous Store Retailers,Retail Trade
7651,443,2017-06-01,Electronics and Appliance Stores,Retail Trade
416255,44000,2017-06-01,Retail Trade,Retail Trade
57664,452,2017-06-01,General Merchandise Stores,Retail Trade
90996,441X,2017-06-01,Auto and Other Motor Vehicles,Retail Trade
436086,44Z72,2017-06-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
337376,44W72,2017-06-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
473546,44X72,2017-06-01,Retail Trade and Food Services,Retail and Food Services
27004,446,2017-06-01,Health and Personal Care Stores,Retail Trade
9520,442,2017-07-01,Furniture and Home Furnishings Stores,Retail Trade
7582,443,2017-07-01,Electronics and Appliance Stores,Retail Trade
12122,4521E,2017-07-01,Department Stores,Retail Trade
6848,451,2017-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
337285,44W72,2017-07-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
374694,44Y72,2017-07-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
27101,446,2017-07-01,Health and Personal Care Stores,Retail Trade
416403,44000,2017-07-01,Retail Trade,Retail Trade
37409,447,2017-07-01,Gasoline Stations,Retail Trade
436143,44Z72,2017-07-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
54139,4451,2017-07-01,Grocery Stores,Retail Trade
28933,444,2017-07-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
60397,445,2017-07-01,Food and Beverage Stores,Retail Trade
10267,453,2017-07-01,Miscellaneous Store Retailers,Retail Trade
57331,452,2017-07-01,General Merchandise Stores,Retail Trade
91046,441X,2017-07-01,Auto and Other Motor Vehicles,Retail Trade
57149,722,2017-07-01,Food Services and Drinking Places,Food Services
98858,441,2017-07-01,Motor Vehicle and Parts Dealers,Retail Trade
21646,448,2017-07-01,Clothing and Accessories Stores,Retail Trade
473552,44X72,2017-07-01,Retail Trade and Food Services,Retail and Food Services
50511,454,2017-07-01,Nonstore Retailers,Nonstore Trade
28906,444,2017-08-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
6915,451,2017-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
339102,44W72,2017-08-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
57565,452,2017-08-01,General Merchandise Stores,Retail Trade
474449,44X72,2017-08-01,Retail Trade and Food Services,Retail and Food Services
96722,441,2017-08-01,Motor Vehicle and Parts Dealers,Retail Trade
21760,448,2017-08-01,Clothing and Accessories Stores,Retail Trade
9599,442,2017-08-01,Furniture and Home Furnishings Stores,Retail Trade
54430,4451,2017-08-01,Grocery Stores,Retail Trade
50853,454,2017-08-01,Nonstore Retailers,Nonstore Trade
57588,722,2017-08-01,Food Services and Drinking Places,Food Services
89033,441X,2017-08-01,Auto and Other Motor Vehicles,Retail Trade
10218,453,2017-08-01,Miscellaneous Store Retailers,Retail Trade
7576,443,2017-08-01,Electronics and Appliance Stores,Retail Trade
12068,4521E,2017-08-01,Department Stores,Retail Trade
60757,445,2017-08-01,Food and Beverage Stores,Retail Trade
377727,44Y72,2017-08-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
38625,447,2017-08-01,Gasoline Stations,Retail Trade
27365,446,2017-08-01,Health and Personal Care Stores,Retail Trade
416861,44000,2017-08-01,Retail Trade,Retail Trade
435824,44Z72,2017-08-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
55012,4451,2017-09-01,Grocery Stores,Retail Trade
443339,44Z72,2017-09-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
57907,722,2017-09-01,Food Services and Drinking Places,Food Services
21857,448,2017-09-01,Clothing and Accessories Stores,Retail Trade
342504,44W72,2017-09-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
92953,441X,2017-09-01,Auto and Other Motor Vehicles,Retail Trade
6989,451,2017-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
