monthly_sales,category_code,time,category_name,high_level_category
100050,441,2018-08-01,Motor Vehicle and Parts Dealers,Retail Trade
62430,445,2018-08-01,Food and Beverage Stores,Retail Trade
55937,4451,2018-08-01,Grocery Stores,Retail Trade
7898,443,2018-08-01,Electronics and Appliance Stores,Retail Trade
22061,448,2018-08-01,Clothing and Accessories Stores,Retail Trade
56962,454,2018-08-01,Nonstore Retailers,Nonstore Trade
92105,441X,2018-08-01,Auto and Other Motor Vehicles,Retail Trade
9878,442,2018-08-01,Furniture and Home Furnishings Stores,Retail Trade
28478,446,2018-08-01,Health and Personal Care Stores,Retail Trade
357231,44W72,2018-08-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
501962,44X72,2018-08-01,Retail Trade and Food Services,Retail and Food Services
457281,44Z72,2018-08-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
401912,44Y72,2018-08-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
11760,4521E,2018-08-01,Department Stores,Retail Trade
455855,44Z72,2018-09-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
57665,454,2018-09-01,Nonstore Retailers,Nonstore Trade
91395,441X,2018-09-01,Auto and Other Motor Vehicles,Retail Trade
9868,442,2018-09-01,Furniture and Home Furnishings Stores,Retail Trade
28379,446,2018-09-01,Health and Personal Care Stores,Retail Trade
356441,44W72,2018-09-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
500033,44X72,2018-09-01,Retail Trade and Food Services,Retail and Food Services
11596,4521E,2018-09-01,Department Stores,Retail Trade
400619,44Y72,2018-09-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
6384,451,2018-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
7753,443,2018-09-01,Electronics and Appliance Stores,Retail Trade
438880,44000,2018-09-01,Retail Trade,Retail Trade
31106,444,2018-09-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
44178,447,2018-09-01,Gasoline Stations,Retail Trade
21941,448,2018-09-01,Clothing and Accessories Stores,Retail Trade
10631,453,2018-09-01,Miscellaneous Store Retailers,Retail Trade
99414,441,2018-09-01,Motor Vehicle and Parts Dealers,Retail Trade
62775,445,2018-09-01,Food and Beverage Stores,Retail Trade
56177,4451,2018-09-01,Grocery Stores,Retail Trade
58786,452,2018-09-01,General Merchandise Stores,Retail Trade
61153,722,2018-09-01,Food Services and Drinking Places,Food Services
59320,452,2018-10-01,General Merchandise Stores,Retail Trade
6380,451,2018-10-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
7797,443,2018-10-01,Electronics and Appliance Stores,Retail Trade
11729,4521E,2018-10-01,Department Stores,Retail Trade
443924,44000,2018-10-01,Retail Trade,Retail Trade
31608,444,2018-10-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
45871,447,2018-10-01,Gasoline Stations,Retail Trade
405531,44Y72,2018-10-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
10866,453,2018-10-01,Miscellaneous Store Retailers,Retail Trade
100091,441,2018-10-01,Motor Vehicle and Parts Dealers,Retail Trade
63058,445,2018-10-01,Food and Beverage Stores,Retail Trade
56408,4451,2018-10-01,Grocery Stores,Retail Trade
22407,448,2018-10-01,Clothing and Accessories Stores,Retail Trade
459751,44Z72,2018-10-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
58016,454,2018-10-01,Nonstore Retailers,Nonstore Trade
92093,441X,2018-10-01,Auto and Other Motor Vehicles,Retail Trade
9915,442,2018-10-01,Furniture and Home Furnishings Stores,Retail Trade
28595,446,2018-10-01,Health and Personal Care Stores,Retail Trade
359660,44W72,2018-10-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
505622,44X72,2018-10-01,Retail Trade and Food Services,Retail and Food Services
61698,722,2018-10-01,Food Services and Drinking Places,Food Services
101122,441,2018-11-01,Motor Vehicle and Parts Dealers,Retail Trade
61431,722,2018-11-01,Food Services and Drinking Places,Food Services
406156,44Y72,2018-11-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
43530,447,2018-11-01,Gasoline Stations,Retail Trade
30952,444,2018-11-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
10863,453,2018-11-01,Miscellaneous Store Retailers,Retail Trade
63222,445,2018-11-01,Food and Beverage Stores,Retail Trade
60005,452,2018-11-01,General Merchandise Stores,Retail Trade
22464,448,2018-11-01,Clothing and Accessories Stores,Retail Trade
463748,44Z72,2018-11-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
60461,454,2018-11-01,Nonstore Retailers,Nonstore Trade
93151,441X,2018-11-01,Auto and Other Motor Vehicles,Retail Trade
9928,442,2018-11-01,Furniture and Home Furnishings Stores,Retail Trade
29102,446,2018-11-01,Health and Personal Care Stores,Retail Trade
362626,44W72,2018-11-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
56569,4451,2018-11-01,Grocery Stores,Retail Trade
445847,44000,2018-11-01,Retail Trade,Retail Trade
507278,44X72,2018-11-01,Retail Trade and Food Services,Retail and Food Services
11873,4521E,2018-11-01,Department Stores,Retail Trade
7770,443,2018-11-01,Electronics and Appliance Stores,Retail Trade
6428,451,2018-11-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
455942,44Z72,2018-12-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
7669,443,2018-12-01,Electronics and Appliance Stores,Retail Trade
22109,448,2018-12-01,Clothing and Accessories Stores,Retail Trade
94274,441X,2018-12-01,Auto and Other Motor Vehicles,Retail Trade
27925,446,2018-12-01,Health and Personal Care Stores,Retail Trade
53907,454,2018-12-01,Nonstore Retailers,Nonstore Trade
435613,44000,2018-12-01,Retail Trade,Retail Trade
61360,722,2018-12-01,Food Services and Drinking Places,Food Services
30922,444,2018-12-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
59530,452,2018-12-01,General Merchandise Stores,Retail Trade
353734,44W72,2018-12-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
496973,44X72,2018-12-01,Retail Trade and Food Services,Retail and Food Services
41031,447,2018-12-01,Gasoline Stations,Retail Trade
394765,44Y72,2018-12-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
10656,453,2018-12-01,Miscellaneous Store Retailers,Retail Trade
102208,441,2018-12-01,Motor Vehicle and Parts Dealers,Retail Trade
63263,445,2018-12-01,Food and Beverage Stores,Retail Trade
56629,4451,2018-12-01,Grocery Stores,Retail Trade
10067,442,2018-12-01,Furniture and Home Furnishings Stores,Retail Trade
11494,4521E,2018-12-01,Department Stores,Retail Trade
6326,451,2018-12-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
360973,44W72,2019-01-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
61348,722,2019-01-01,Food Services and Drinking Places,Food Services
32019,444,2019-01-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
500208,44X72,2019-01-01,Retail Trade and Food Services,Retail and Food Services
11428,4521E,2019-01-01,Department Stores,Retail Trade
7711,443,2019-01-01,Electronics and Appliance Stores,Retail Trade
99233,441,2019-01-01,Motor Vehicle and Parts Dealers,Retail Trade
57470,4451,2019-01-01,Grocery Stores,Retail Trade
40002,447,2019-01-01,Gasoline Stations,Retail Trade
400975,44Y72,2019-01-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
59416,452,2019-01-01,General Merchandise Stores,Retail Trade
64131,445,2019-01-01,Food and Beverage Stores,Retail Trade
438860,44000,2019-01-01,Retail Trade,Retail Trade
9778,442,2019-01-01,Furniture and Home Furnishings Stores,Retail Trade
10429,453,2019-01-01,Miscellaneous Store Retailers,Retail Trade
6431,451,2019-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
58949,454,2019-01-01,Nonstore Retailers,Nonstore Trade
460206,44Z72,2019-01-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
28785,446,2019-01-01,Health and Personal Care Stores,Retail Trade
91481,441X,2019-01-01,Auto and Other Motor Vehicles,Retail Trade
21976,448,2019-01-01,Clothing and Accessories Stores,Retail Trade
62976,445,2019-02-01,Food and Beverage Stores,Retail Trade
29126,446,2019-02-01,Health and Personal Care Stores,Retail Trade
100482,441,2019-02-01,Motor Vehicle and Parts Dealers,Retail Trade
6500,451,2019-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
92478,441X,2019-02-01,Auto and Other Motor Vehicles,Retail Trade
30501,444,2019-02-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
22033,448,2019-02-01,Clothing and Accessories Stores,Retail Trade
59293,454,2019-02-01,Nonstore Retailers,Nonstore Trade
459437,44Z72,2019-02-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
439249,44000,2019-02-01,Retail Trade,Retail Trade
58865,452,2019-02-01,General Merchandise Stores,Retail Trade
358955,44W72,2019-02-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
61679,722,2019-02-01,Food Services and Drinking Places,Food Services
7615,443,2019-02-01,Electronics and Appliance Stores,Retail Trade
9804,442,2019-02-01,Furniture and Home Furnishings Stores,Retail Trade
400446,44Y72,2019-02-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
10563,453,2019-02-01,Miscellaneous Store Retailers,Retail Trade
11438,4521E,2019-02-01,Department Stores,Retail Trade
56351,4451,2019-02-01,Grocery Stores,Retail Trade
500928,44X72,2019-02-01,Retail Trade and Food Services,Retail and Food Services
41491,447,2019-02-01,Gasoline Stations,Retail Trade
446687,44000,2019-03-01,Retail Trade,Retail Trade
29035,446,2019-03-01,Health and Personal Care Stores,Retail Trade
22357,448,2019-03-01,Clothing and Accessories Stores,Retail Trade
362361,44W72,2019-03-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
7630,443,2019-03-01,Electronics and Appliance Stores,Retail Trade
103378,441,2019-03-01,Motor Vehicle and Parts Dealers,Retail Trade
95268,441X,2019-03-01,Auto and Other Motor Vehicles,Retail Trade
43205,447,2019-03-01,Gasoline Stations,Retail Trade
30834,444,2019-03-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
465739,44Z72,2019-03-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
64087,445,2019-03-01,Food and Beverage Stores,Retail Trade
62257,722,2019-03-01,Food Services and Drinking Places,Food Services
59384,454,2019-03-01,Nonstore Retailers,Nonstore Trade
9889,442,2019-03-01,Furniture and Home Furnishings Stores,Retail Trade
57446,4451,2019-03-01,Grocery Stores,Retail Trade
6541,451,2019-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
10700,453,2019-03-01,Miscellaneous Store Retailers,Retail Trade
508944,44X72,2019-03-01,Retail Trade and Food Services,Retail and Food Services
405566,44Y72,2019-03-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
11362,4521E,2019-03-01,Department Stores,Retail Trade
59647,452,2019-03-01,General Merchandise Stores,Retail Trade
64304,445,2019-04-01,Food and Beverage Stores,Retail Trade
101385,441,2019-04-01,Motor Vehicle and Parts Dealers,Retail Trade
44734,447,2019-04-01,Gasoline Stations,Retail Trade
93287,441X,2019-04-01,Auto and Other Motor Vehicles,Retail Trade
446833,44000,2019-04-01,Retail Trade,Retail Trade
57652,4451,2019-04-01,Grocery Stores,Retail Trade
464830,44Z72,2019-04-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
408179,44Y72,2019-04-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
59821,454,2019-04-01,Nonstore Retailers,Nonstore Trade
9958,442,2019-04-01,Furniture and Home Furnishings Stores,Retail Trade
11357,4521E,2019-04-01,Department Stores,Retail Trade
62731,722,2019-04-01,Food Services and Drinking Places,Food Services
10895,453,2019-04-01,Miscellaneous Store Retailers,Retail Trade
30855,444,2019-04-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
509564,44X72,2019-04-01,Retail Trade and Food Services,Retail and Food Services
22306,448,2019-04-01,Clothing and Accessories Stores,Retail Trade
363445,44W72,2019-04-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
28936,446,2019-04-01,Health and Personal Care Stores,Retail Trade
7467,443,2019-04-01,Electronics and Appliance Stores,Retail Trade
6659,451,2019-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
59513,452,2019-04-01,General Merchandise Stores,Retail Trade
7624,443,2019-05-01,Electronics and Appliance Stores,Retail Trade
102958,441,2019-05-01,Motor Vehicle and Parts Dealers,Retail Trade
30572,444,2019-05-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
64292,445,2019-05-01,Food and Beverage Stores,Retail Trade
22116,448,2019-05-01,Clothing and Accessories Stores,Retail Trade
57652,4451,2019-05-01,Grocery Stores,Retail Trade
11338,4521E,2019-05-01,Department Stores,Retail Trade
29185,446,2019-05-01,Health and Personal Care Stores,Retail Trade
63406,722,2019-05-01,Food Services and Drinking Places,Food Services
366061,44W72,2019-05-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
61732,454,2019-05-01,Nonstore Retailers,Nonstore Trade
6684,451,2019-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
10032,442,2019-05-01,Furniture and Home Furnishings Stores,Retail Trade
409972,44Y72,2019-05-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
11078,453,2019-05-01,Miscellaneous Store Retailers,Retail Trade
59340,452,2019-05-01,General Merchandise Stores,Retail Trade
449524,44000,2019-05-01,Retail Trade,Retail Trade
512930,44X72,2019-05-01,Retail Trade and Food Services,Retail and Food Services
94885,441X,2019-05-01,Auto and Other Motor Vehicles,Retail Trade
469019,44Z72,2019-05-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
43911,447,2019-05-01,Gasoline Stations,Retail Trade
59471,452,2019-06-01,General Merchandise Stores,Retail Trade
513716,44X72,2019-06-01,Retail Trade and Food Services,Retail and Food Services
368841,44W72,2019-06-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
64307,722,2019-06-01,Food Services and Drinking Places,Food Services
102707,441,2019-06-01,Motor Vehicle and Parts Dealers,Retail Trade
11185,4521E,2019-06-01,Department Stores,Retail Trade
64586,445,2019-06-01,Food and Beverage Stores,Retail Trade
411009,44Y72,2019-06-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
30622,444,2019-06-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
10098,442,2019-06-01,Furniture and Home Furnishings Stores,Retail Trade
11062,453,2019-06-01,Miscellaneous Store Retailers,Retail Trade
63238,454,2019-06-01,Nonstore Retailers,Nonstore Trade
7570,443,2019-06-01,Electronics and Appliance Stores,Retail Trade
57913,4451,2019-06-01,Grocery Stores,Retail Trade
471548,44Z72,2019-06-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
6739,451,2019-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
449409,44000,2019-06-01,Retail Trade,Retail Trade
22119,448,2019-06-01,Clothing and Accessories Stores,Retail Trade
42168,447,2019-06-01,Gasoline Stations,Retail Trade
29029,446,2019-06-01,Health and Personal Care Stores,Retail Trade
94602,441X,2019-06-01,Auto and Other Motor Vehicles,Retail Trade
103472,441,2019-07-01,Motor Vehicle and Parts Dealers,Retail Trade
10939,453,2019-07-01,Miscellaneous Store Retailers,Retail Trade
11479,4521E,2019-07-01,Department Stores,Retail Trade
65053,722,2019-07-01,Food Services and Drinking Places,Food Services
65380,445,2019-07-01,Food and Beverage Stores,Retail Trade
28895,446,2019-07-01,Health and Personal Care Stores,Retail Trade
31137,444,2019-07-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
42831,447,2019-07-01,Gasoline Stations,Retail Trade
58604,4451,2019-07-01,Grocery Stores,Retail Trade
22450,448,2019-07-01,Clothing and Accessories Stores,Retail Trade
95380,441X,2019-07-01,Auto and Other Motor Vehicles,Retail Trade
10125,442,2019-07-01,Furniture and Home Furnishings Stores,Retail Trade
475443,44Z72,2019-07-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
414802,44Y72,2019-07-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
6617,451,2019-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
371971,44W72,2019-07-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
63579,454,2019-07-01,Nonstore Retailers,Nonstore Trade
453221,44000,2019-07-01,Retail Trade,Retail Trade
518274,44X72,2019-07-01,Retail Trade and Food Services,Retail and Food Services
60189,452,2019-07-01,General Merchandise Stores,Retail Trade
7607,443,2019-07-01,Electronics and Appliance Stores,Retail Trade
97492,441X,2019-08-01,Auto and Other Motor Vehicles,Retail Trade
10093,442,2019-08-01,Furniture and Home Furnishings Stores,Retail Trade
456082,44000,2019-08-01,Retail Trade,Retail Trade
11150,453,2019-08-01,Miscellaneous Store Retailers,Retail Trade
64017,454,2019-08-01,Nonstore Retailers,Nonstore Trade
372880,44W72,2019-08-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
65266,722,2019-08-01,Food Services and Drinking Places,Food Services
42803,447,2019-08-01,Gasoline Stations,Retail Trade
415683,44Y72,2019-08-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
28902,446,2019-08-01,Health and Personal Care Stores,Retail Trade
22412,448,2019-08-01,Clothing and Accessories Stores,Retail Trade
59883,452,2019-08-01,General Merchandise Stores,Retail Trade
521348,44X72,2019-08-01,Retail Trade and Food Services,Retail and Food Services
105665,441,2019-08-01,Motor Vehicle and Parts Dealers,Retail Trade
58671,4451,2019-08-01,Grocery Stores,Retail Trade
6684,451,2019-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
7560,443,2019-08-01,Electronics and Appliance Stores,Retail Trade
478545,44Z72,2019-08-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
65444,445,2019-08-01,Food and Beverage Stores,Retail Trade
31469,444,2019-08-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
11319,4521E,2019-08-01,Department Stores,Retail Trade
64585,454,2019-09-01,Nonstore Retailers,Nonstore Trade
452230,44000,2019-09-01,Retail Trade,Retail Trade
518188,44X72,2019-09-01,Retail Trade and Food Services,Retail and Food Services
372495,44W72,2019-09-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
7560,443,2019-09-01,Electronics and Appliance Stores,Retail Trade
10252,442,2019-09-01,Furniture and Home Furnishings Stores,Retail Trade
59355,452,2019-09-01,General Merchandise Stores,Retail Trade
22216,448,2019-09-01,Clothing and Accessories Stores,Retail Trade
11065,453,2019-09-01,Miscellaneous Store Retailers,Retail Trade
65958,722,2019-09-01,Food Services and Drinking Places,Food Services
6661,451,2019-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
103249,441,2019-09-01,Motor Vehicle and Parts Dealers,Retail Trade
42444,447,2019-09-01,Gasoline Stations,Retail Trade
475744,44Z72,2019-09-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
95207,441X,2019-09-01,Auto and Other Motor Vehicles,Retail Trade
414939,44Y72,2019-09-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
31151,444,2019-09-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
58124,4451,2019-09-01,Grocery Stores,Retail Trade
10949,4521E,2019-09-01,Department Stores,Retail Trade
28825,446,2019-09-01,Health and Personal Care Stores,Retail Trade
64867,445,2019-09-01,Food and Beverage Stores,Retail Trade
11232,453,2019-10-01,Miscellaneous Store Retailers,Retail Trade
373604,44W72,2019-10-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
476834,44Z72,2019-10-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
416565,44Y72,2019-10-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
10947,4521E,2019-10-01,Department Stores,Retail Trade
95131,441X,2019-10-01,Auto and Other Motor Vehicles,Retail Trade
64643,445,2019-10-01,Food and Beverage Stores,Retail Trade
103230,441,2019-10-01,Motor Vehicle and Parts Dealers,Retail Trade
57880,4451,2019-10-01,Grocery Stores,Retail Trade
7500,443,2019-10-01,Electronics and Appliance Stores,Retail Trade
519795,44X72,2019-10-01,Retail Trade and Food Services,Retail and Food Services
31076,444,2019-10-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
66430,722,2019-10-01,Food Services and Drinking Places,Food Services
42961,447,2019-10-01,Gasoline Stations,Retail Trade
6713,451,2019-10-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
453365,44000,2019-10-01,Retail Trade,Retail Trade
22283,448,2019-10-01,Clothing and Accessories Stores,Retail Trade
64762,454,2019-10-01,Nonstore Retailers,Nonstore Trade
29107,446,2019-10-01,Health and Personal Care Stores,Retail Trade
59726,452,2019-10-01,General Merchandise Stores,Retail Trade
10132,442,2019-10-01,Furniture and Home Furnishings Stores,Retail Trade
11139,4521E,2019-11-01,Department Stores,Retail Trade
10185,442,2019-11-01,Furniture and Home Furnishings Stores,Retail Trade
28827,446,2019-11-01,Health and Personal Care Stores,Retail Trade
11416,453,2019-11-01,Miscellaneous Store Retailers,Retail Trade
66533,722,2019-11-01,Food Services and Drinking Places,Food Services
523120,44X72,2019-11-01,Retail Trade and Food Services,Retail and Food Services
58049,4451,2019-11-01,Grocery Stores,Retail Trade
64723,454,2019-11-01,Nonstore Retailers,Nonstore Trade
64816,445,2019-11-01,Food and Beverage Stores,Retail Trade
42884,447,2019-11-01,Gasoline Stations,Retail Trade
97828,441X,2019-11-01,Auto and Other Motor Vehicles,Retail Trade
417162,44Y72,2019-11-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
7534,443,2019-11-01,Electronics and Appliance Stores,Retail Trade
374278,44W72,2019-11-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
31164,444,2019-11-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
480236,44Z72,2019-11-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
60360,452,2019-11-01,General Merchandise Stores,Retail Trade
6473,451,2019-11-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
456587,44000,2019-11-01,Retail Trade,Retail Trade
22247,448,2019-11-01,Clothing and Accessories Stores,Retail Trade
105958,441,2019-11-01,Motor Vehicle and Parts Dealers,Retail Trade
6684,451,2019-12-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
103946,441,2019-12-01,Motor Vehicle and Parts Dealers,Retail Trade
65335,445,2019-12-01,Food and Beverage Stores,Retail Trade
95904,441X,2019-12-01,Auto and Other Motor Vehicles,Retail Trade
421008,44Y72,2019-12-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
31527,444,2019-12-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
44150,447,2019-12-01,Gasoline Stations,Retail Trade
457253,44000,2019-12-01,Retail Trade,Retail Trade
64626,454,2019-12-01,Nonstore Retailers,Nonstore Trade
60287,452,2019-12-01,General Merchandise Stores,Retail Trade
11242,453,2019-12-01,Miscellaneous Store Retailers,Retail Trade
23116,448,2019-12-01,Clothing and Accessories Stores,Retail Trade
376858,44W72,2019-12-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
28517,446,2019-12-01,Health and Personal Care Stores,Retail Trade
10952,4521E,2019-12-01,Department Stores,Retail Trade
10239,442,2019-12-01,Furniture and Home Furnishings Stores,Retail Trade
58537,4451,2019-12-01,Grocery Stores,Retail Trade
7584,443,2019-12-01,Electronics and Appliance Stores,Retail Trade
480804,44Z72,2019-12-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
67701,722,2019-12-01,Food Services and Drinking Places,Food Services
524954,44X72,2019-12-01,Retail Trade and Food Services,Retail and Food Services
525411,44X72,2020-01-01,Retail Trade and Food Services,Retail and Food Services
423094,44Y72,2020-01-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
379692,44W72,2020-01-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
94327,441X,2020-01-01,Auto and Other Motor Vehicles,Retail Trade
482009,44Z72,2020-01-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
102317,441,2020-01-01,Motor Vehicle and Parts Dealers,Retail Trade
43402,447,2020-01-01,Gasoline Stations,Retail Trade
10844,4521E,2020-01-01,Department Stores,Retail Trade
11531,453,2020-01-01,Miscellaneous Store Retailers,Retail Trade
7429,443,2020-01-01,Electronics and Appliance Stores,Retail Trade
32015,444,2020-01-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
22854,448,2020-01-01,Clothing and Accessories Stores,Retail Trade
65279,454,2020-01-01,Nonstore Retailers,Nonstore Trade
10405,442,2020-01-01,Furniture and Home Furnishings Stores,Retail Trade
60539,452,2020-01-01,General Merchandise Stores,Retail Trade
6705,451,2020-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
68991,722,2020-01-01,Food Services and Drinking Places,Food Services
456420,44000,2020-01-01,Retail Trade,Retail Trade
29318,446,2020-01-01,Health and Personal Care Stores,Retail Trade
64626,445,2020-01-01,Food and Beverage Stores,Retail Trade
57885,4451,2020-01-01,Grocery Stores,Retail Trade
95047,441X,2020-02-01,Auto and Other Motor Vehicles,Retail Trade
22679,448,2020-02-01,Clothing and Accessories Stores,Retail Trade
7327,443,2020-02-01,Electronics and Appliance Stores,Retail Trade
66223,454,2020-02-01,Nonstore Retailers,Nonstore Trade
32081,444,2020-02-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
102964,441,2020-02-01,Motor Vehicle and Parts Dealers,Retail Trade
10817,4521E,2020-02-01,Department Stores,Retail Trade
57922,4451,2020-02-01,Grocery Stores,Retail Trade
525380,44X72,2020-02-01,Retail Trade and Food Services,Retail and Food Services
483899,44Z72,2020-02-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
380935,44W72,2020-02-01,"Retail Trade and Food Services, ex Auto and Gas",Retail and Food Services
11483,453,2020-02-01,Miscellaneous Store Retailers,Retail Trade
29680,446,2020-02-01,Health and Personal Care Stores,Retail Trade
6682,451,2020-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Retail Trade
41481,447,2020-02-01,Gasoline Stations,Retail Trade
10239,442,2020-02-01,Furniture and Home Furnishings Stores,Retail Trade
64741,445,2020-02-01,Food and Beverage Stores,Retail Trade
60821,452,2020-02-01,General Merchandise Stores,Retail Trade
422416,44Y72,2020-02-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
456401,44000,2020-02-01,Retail Trade,Retail Trade
68979,722,2020-02-01,Food Services and Drinking Places,Food Services
70307,454,2020-03-01,Nonstore Retailers,Nonstore Trade
31953,444,2020-03-01,Building Material and Garden Equipment and Supplies Dealers,Retail Trade
11435,448,2020-03-01,Clothing and Accessories Stores,Retail Trade
7977,442,2020-03-01,Furniture and Home Furnishings Stores,Retail Trade
429196,44000,2020-03-01,Retail Trade,Retail Trade
68873,441X,2020-03-01,Auto and Other Motor Vehicles,Retail Trade
35024,447,2020-03-01,Gasoline Stations,Retail Trade
48480,722,2020-03-01,Food Services and Drinking Places,Food Services
401728,44Y72,2020-03-01,"Retail Trade and Food Services, ex Auto",Retail and Food Services
6005,443,2020-03-01,Electronics and Appliance Stores,Retail Trade
75948,441,2020-03-01,Motor Vehicle and Parts Dealers,Retail Trade
8811,4521E,2020-03-01,Department Stores,Retail Trade
62573,452,2020-03-01,General Merchandise Stores,Retail Trade
477676,44X72,2020-03-01,Retail Trade and Food Services,Retail and Food Services
9686,453,2020-03-01,Miscellaneous Store Retailers,Retail Trade
442652,44Z72,2020-03-01,"Retail Trade and Food Services, ex Gas",Retail and Food Services
