monthly_sales,category_code,time,category_name,high_level_category,is_subset,cv,year,yoy_growth,cpi_index,inflation_adjusted_sales
4592.0,4453,2018-05-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873,2018,4.888076747373238,251.588,1825.206289648155
16711.0,4481,2018-05-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107,2018,5.4787603357949965,251.588,6642.208690398588
47311.0,4529,2018-05-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052,2018,6.907850137840654,251.588,18804.95095155572
44044.0,447,2018-05-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362,2018,15.519185878773566,251.588,17506.399351320415
356111.0,44W72,2018-05-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234,2018,6.07728717430871,251.588,141545.3042275466
3460.0,44812,2018-05-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283,2018,7.087588981739401,251.588,1375.2643210327997
23464.0,44611,2018-05-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238,2018,4.862352520557733,251.588,9326.358967836304
456886.0,44Z72,2018-05-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524,2018,5.393964978327714,251.588,181600.87126572017
28397.0,446,2018-05-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862,2018,5.868098273869449,251.588,11287.104313401274
59624.0,452,2018-05-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407,2018,5.506795016987542,251.588,23699.06354834094
60839.0,722,2018-05-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256,2018,6.0337766003799365,251.588,24181.995961651588
339316.0,4400A,2018-05-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359,2018,7.222736594629953,251.588,134869.70761721546
9925.0,442,2018-05-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764,2018,4.58377239199157,251.588,3944.941730130213
12313.0,4521E,2018-05-01,Department Stores,Department Stores,False,0.08625376047961941,2018,0.4486865720345845,251.588,4894.11259678522
17832.0,4423X,2018-05-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385,2018,3.4999129374891247,251.588,7087.778431403724
6498.0,45299,2018-05-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059,2018,6.699507389162562,251.588,2582.7940919280727
3128.0,4482,2018-05-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816,2018,4.3362241494329545,251.588,1243.3025422516178
27017.0,4441,2018-05-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988,2018,8.072322892915707,251.588,10738.588485937325
100775.0,441,2018-05-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332,2018,3.0482442685645372,251.588,40055.567038173525
62439.0,445,2018-05-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656,2018,2.9989607561736076,251.588,24817.956341319936
7907.0,443,2018-05-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352,2018,2.1708231037601777,251.588,3142.8367012735107
92817.0,441X,2018-05-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178,2018,3.0807503081860865,251.588,36892.459099798085
30643.0,444,2018-05-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784,2018,6.636275055679297,251.588,12179.833696360716
783.0,44811,2018-05-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098,2018,-2.0025031289111372,251.588,311.2231108001971
109779.0,4400C,2018-05-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685,2018,4.706993247109992,251.588,43634.43407475714
10854.0,453,2018-05-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801,2018,7.785501489572999,251.588,4314.196225575147
40813.0,45291,2018-05-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292,2018,6.94109632114035,251.588,16222.156859627645
400155.0,44Y72,2018-05-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675,2018,7.040252945141723,251.588,159051.70357886705
55657.0,454,2018-05-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308,2018,11.850884244372995,251.588,22122.279282000734
2719.0,44831,2018-05-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883,2018,7.555379746835444,251.588,1080.7351701988966
440091.0,44000,2018-05-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272,2018,6.237251148452749,251.588,174925.27465538896
22766.0,448,2018-05-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514,2018,5.266564941970686,251.588,9048.921252205988
55897.0,4451,2018-05-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436,2018,2.906955337089001,251.588,22217.673338950986
48026.0,4541,2018-05-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212,2018,12.029671790804542,251.588,19089.145746220012
500930.0,44X72,2018-05-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846,2018,6.212497084579005,251.588,199107.27061704057
7060.0,451,2018-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443,2018,1.5243025596778814,251.588,2806.1751752865794
48449.0,4541,2018-06-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212,2018,11.79592496019568,251.989,19226.63290857934
6851.0,451,2018-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443,2018,-1.721417300243866,251.989,2718.769470095917
455407.0,44Z72,2018-06-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524,2018,4.430548102897136,251.989,180724.95227966298
499218.0,44X72,2018-06-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846,2018,5.421226237788934,251.989,198111.02865601276
3316.0,44812,2018-06-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283,2018,-0.24067388688326918,251.989,1315.9304572818655
3081.0,4482,2018-06-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816,2018,1.9186238835593672,251.989,1222.6724182404787
779.0,44811,2018-06-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098,2018,-2.1356783919597944,251.989,309.1404783542139
2733.0,44831,2018-06-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883,2018,6.799531066822984,251.989,1084.5711519153615
16171.0,4481,2018-06-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107,2018,1.404652912773563,251.989,6417.3436142053815
355016.0,44W72,2018-06-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234,2018,5.228587688513708,251.989,140885.5148439019
100391.0,441,2018-06-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332,2018,1.7029682909532884,251.989,39839.43743576109
398827.0,44Y72,2018-06-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675,2018,6.400399107876509,251.989,158271.5912202517
40361.0,45291,2018-06-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292,2018,3.1432879302854433,251.989,16016.96899467834
9948.0,442,2018-06-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764,2018,3.841336116910221,251.989,3947.7913718455966
108001.0,4400C,2018-06-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685,2018,1.759096990596798,251.989,42859.410529824716
31162.0,444,2018-06-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784,2018,8.261534185658693,251.989,12366.412819607203
7944.0,443,2018-06-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352,2018,3.8295647627761165,251.989,3152.5185623181965
10782.0,453,2018-06-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801,2018,7.283582089552243,251.989,4278.758199762688
62198.0,445,2018-06-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656,2018,2.937623090544994,251.989,24682.823456579452
437762.0,44000,2018-06-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272,2018,5.166784783365963,251.989,173722.66249717248
22192.0,448,2018-06-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514,2018,1.9056803049088522,251.989,8806.733627261508
46778.0,4529,2018-06-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052,2018,3.092011019283736,251.989,18563.508724587184
92479.0,441X,2018-06-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178,2018,1.6297419666798652,251.989,36699.617840461295
17892.0,4423X,2018-06-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385,2018,3.8361093378213695,251.989,7100.309934163792
27485.0,4441,2018-06-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988,2018,9.454024132850147,251.989,10907.222140648995
2920.0,45431,2018-06-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976,2018,15.096570752857708,251.989,1158.7807404291457
337371.0,4400A,2018-06-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359,2018,6.243524539828993,251.989,133883.22506141142
55696.0,4451,2018-06-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436,2018,2.8512335647806086,251.989,22102.55209552798
6417.0,45299,2018-06-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059,2018,2.7706598334400923,251.989,2546.539729908845
7912.0,4413,2018-06-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359,2018,2.5667617319159897,251.989,3139.819595299795
55803.0,454,2018-06-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308,2018,11.203443534405455,251.989,22145.014266495757
4563.0,4453,2018-06-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873,2018,4.344843356963191,251.989,1810.7933282802026
43811.0,447,2018-06-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362,2018,16.954084356647094,251.989,17386.07637634976
58575.0,452,2018-06-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407,2018,1.5798418423973448,251.989,23245.062284464795
11797.0,4521E,2018-06-01,Department Stores,Department Stores,False,0.08625376047961941,2018,-4.003580437789889,251.989,4681.553559877613
23120.0,44611,2018-06-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238,2018,2.309938932648903,251.989,9175.003670795153
61456.0,722,2018-06-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256,2018,7.269902777050508,251.989,24388.36615884027
28105.0,446,2018-06-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862,2018,4.0771737520367335,251.989,11153.264626630527
7980.0,4413,2018-07-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359,2018,2.1505376344086002,252.006,3166.5912716363896
6468.0,45299,2018-07-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059,2018,2.3417721518987245,252.006,2566.6055570105473
62231.0,722,2018-07-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256,2018,8.892544051514474,252.006,24694.253311429093
7843.0,443,2018-07-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352,2018,3.442363492482192,252.006,3112.2274866471435
6544.0,451,2018-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443,2018,-4.439252336448596,252.006,2596.76356912137
2700.0,44831,2018-07-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883,2018,2.6225769669327326,252.006,1071.4030618318611
22495.0,448,2018-07-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514,2018,3.9222027164372175,252.006,8926.37476885471
10422.0,453,2018-07-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801,2018,1.5096912437907894,252.006,4135.6158186709845
458259.0,44Z72,2018-07-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524,2018,5.070813930293494,252.006,181844.47989333587
3298.0,44812,2018-07-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283,2018,-0.30229746070132846,252.006,1308.6989992301772
108355.0,4400C,2018-07-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685,2018,2.7919022502181923,252.006,42996.992135107896
56769.0,454,2018-07-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308,2018,12.389380530973447,252.006,22526.84459893812
17863.0,4423X,2018-07-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385,2018,4.449771956496318,252.006,7088.323293889827
43996.0,447,2018-07-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362,2018,17.60806223101392,252.006,17458.314484575763
28247.0,446,2018-07-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862,2018,4.228626249953882,252.006,11208.8601065054
3212.0,4482,2018-07-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816,2018,8.075370121130554,252.006,1274.572827631088
27553.0,4441,2018-07-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988,2018,9.62877491743923,252.006,10933.46983801973
40603.0,45291,2018-07-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292,2018,4.407415978811491,252.006,16111.91797020706
58934.0,452,2018-07-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407,2018,2.7960440250475393,252.006,23385.951128147743
49235.0,4541,2018-07-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212,2018,12.622092092321058,252.006,19537.2332404784
23336.0,44611,2018-07-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238,2018,3.8540275923453438,252.006,9260.096981817895
4596.0,4453,2018-07-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873,2018,5.147563486616336,252.006,1823.7661008071236
16384.0,4481,2018-07-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107,2018,3.8342100259838974,252.006,6501.432505575263
357382.0,44W72,2018-07-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234,2018,5.958462427917044,252.006,141814.8774235534
11863.0,4521E,2018-07-01,Department Stores,Department Stores,False,0.08625376047961941,2018,-2.1366111202771765,252.006,4707.427600930137
56057.0,4451,2018-07-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436,2018,3.542732595725817,252.006,22244.31164337357
10020.0,442,2018-07-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764,2018,5.252100840336138,252.006,3976.0958072426847
92897.0,441X,2018-07-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178,2018,2.0330382444039286,252.006,36863.01119814607
765.0,44811,2018-07-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098,2018,-1.4175257731958713,252.006,303.56420085236067
339147.0,4400A,2018-07-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359,2018,6.802815349005642,252.006,134578.93859670009
47071.0,4529,2018-07-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052,2018,4.118648941582426,252.006,18678.523527217607
502255.0,44X72,2018-07-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846,2018,6.061213974389301,252.006,199302.79437791163
440024.0,44000,2018-07-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272,2018,5.672629640036209,252.006,174608.54106648255
31279.0,444,2018-07-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784,2018,8.10838834548786,252.006,12412.006063347699
401378.0,44Y72,2018-07-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675,2018,7.121544513656475,252.006,159273.19190812917
62598.0,445,2018-07-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656,2018,3.6442207394407067,252.006,24839.88476464846
100877.0,441,2018-07-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332,2018,2.0423233324566636,252.006,40029.60246978246
3055.0,45431,2018-07-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976,2018,23.584142394822006,252.006,1212.2727236653095
10614.0,453,2018-08-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801,2018,3.875513799177921,252.146,4209.465944333839
357231.0,44W72,2018-08-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234,2018,5.346179025779851,252.146,141676.25106089332
58998.0,452,2018-08-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407,2018,2.489359854077988,252.146,23398.34857582512
56962.0,454,2018-08-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308,2018,12.013057243427138,252.146,22590.879887049567
62523.0,722,2018-08-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256,2018,8.569493644509274,252.146,24796.348147501845
47238.0,4529,2018-08-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052,2018,3.826625931380101,252.146,18734.384047337655
11760.0,4521E,2018-08-01,Department Stores,Department Stores,False,0.08625376047961941,2018,-2.5522041763341052,252.146,4663.964528487464
457281.0,44Z72,2018-08-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524,2018,4.923317669517968,252.146,181355.64315912212
49452.0,4541,2018-08-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212,2018,12.839703365658872,252.146,19612.446757037593
3025.0,45431,2018-08-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976,2018,17.567042363000397,252.146,1199.7017600913757
40692.0,45291,2018-08-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292,2018,3.750541801585894,252.146,16138.269098062236
501962.0,44X72,2018-08-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846,2018,5.798937293576345,252.146,199075.93219801228
2677.0,44831,2018-08-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883,2018,3.679318357862127,252.146,1061.6864832279712
6546.0,45299,2018-08-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059,2018,4.302103250478018,252.146,2596.11494927542
772.0,44811,2018-08-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098,2018,1.1795543905635641,252.146,306.1718210877825
55937.0,4451,2018-08-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436,2018,2.7686937350725804,252.146,22184.369373299596
16213.0,4481,2018-08-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107,2018,2.1098375110215395,252.146,6430.004838466602
9878.0,442,2018-08-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764,2018,2.9065527659131174,252.146,3917.5715656802013
439439.0,44000,2018-08-01,Retail Trade,Retail Trade and Food Services,True,0.14265869482578272,2018,5.416193887171028,252.146,174279.58405051043
23587.0,44611,2018-08-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238,2018,4.049583131148271,252.146,9354.500963727365
17776.0,4423X,2018-08-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385,2018,3.4992721979621555,252.146,7049.883797482411
4550.0,4453,2018-08-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873,2018,3.456116416552968,252.146,1804.5100854266973
28478.0,446,2018-08-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862,2018,4.067239174127546,252.146,11294.250156655273
401912.0,44Y72,2018-08-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675,2018,6.402772372639509,252.146,159396.54009978345
92105.0,441X,2018-08-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178,2018,3.450406029225128,252.146,36528.43987213758
7945.0,4413,2018-08-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359,2018,3.329431655611903,252.146,3150.952226091233
107845.0,4400C,2018-08-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685,2018,1.8510648344902458,252.146,42770.85498084444
6479.0,451,2018-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443,2018,-6.30513376717281,252.146,2569.543042522983
22061.0,448,2018-08-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514,2018,1.383272058823537,252.146,8749.296042768872
44681.0,447,2018-08-01,Gasoline Stations,Gasoline Stations,False,0.18634262508160362,2018,15.678964401294504,252.146,17720.289038890165
62430.0,445,2018-08-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656,2018,2.7535921786790096,252.146,24759.46475454697
27005.0,4441,2018-08-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988,2018,7.218009290506999,252.146,10710.064803724827
3347.0,44812,2018-08-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283,2018,3.1750924784216927,252.146,1327.405550752342
100050.0,441,2018-08-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332,2018,3.440789065569372,252.146,39679.392098228804
7898.0,443,2018-08-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352,2018,4.250263991552261,252.146,3132.31223180221
30910.0,444,2018-08-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784,2018,6.932816716252677,252.146,12258.77071220642
339389.0,4400A,2018-08-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359,2018,6.013013097435804,252.146,134600.19195228163
2978.0,4482,2018-08-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816,2018,-2.1360499507065422,252.146,1181.0617658023525
40577.0,45291,2018-09-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292,2018,2.1010517840068355,252.439,16073.982229370264
339466.0,4400A,2018-09-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359,2018,4.3159476493526805,252.439,134474.46709898234
27118.0,4441,2018-09-01,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True,0.14604896148954988,2018,2.85605916935332,252.439,10742.397173178471
57665.0,454,2018-09-01,Nonstore Retailers,Nonstore Retailers,False,0.2888760037575308,2018,12.400834259205107,252.439,22843.142303685247
6613.0,45299,2018-09-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059,2018,3.977987421383644,252.439,2619.642765182876
58786.0,452,2018-09-01,General Merchandise Stores,General Merchandise Stores,False,0.09676640812278407,2018,1.0103439980755358,252.439,23287.209979440577
107252.0,4400C,2018-09-01,GAFO,Retail Trade and Food Services,True,0.09965600249127685,2018,0.5427802724213171,252.439,42486.30362186508
7753.0,443,2018-09-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352,2018,1.4126880313930723,252.439,3071.237011713721
9868.0,442,2018-09-01,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False,0.12210590008330764,2018,3.5032515208726744,252.439,3909.0631796196312
28379.0,446,2018-09-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862,2018,3.4710321945528033,252.439,11241.92379149022
21941.0,448,2018-09-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514,2018,0.3843162373610376,252.439,8691.60470450287
47190.0,4529,2018-09-01,Other General Merchandise Stores,Other General Merchandise Stores,False,0.11963872522448052,2018,2.3599843824562816,252.439,18693.62499455314
62775.0,445,2018-09-01,Food and Beverage Stores,Food and Beverage Stores,False,0.11303261227981656,2018,2.371128977022563,252.439,24867.39370699456
11596.0,4521E,2018-09-01,Department Stores,Department Stores,False,0.08625376047961941,2018,-4.133597883597884,252.439,4593.584984887439
61153.0,722,2018-09-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256,2018,5.60553991745385,252.439,24224.862243948046
56177.0,4451,2018-09-01,Grocery Stores,Food and Beverage Stores,True,0.11349523953737436,2018,2.1177197702319406,252.439,22253.692971371303
91395.0,441X,2018-09-01,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True,0.13209191148749178,2018,-1.6761158865232995,252.439,36204.78610674262
31106.0,444,2018-09-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784,2018,3.697036370303697,252.439,12322.18476542848
4624.0,4453,2018-09-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873,2018,4.852607709750556,252.439,1831.7296455777434
10631.0,453,2018-09-01,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False,0.15056250465367801,2018,2.953709083865963,252.439,4211.314416552118
23426.0,44611,2018-09-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238,2018,2.6960676866424116,252.439,9279.865630904893
356441.0,44W72,2018-09-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234,2018,4.069149557377427,252.439,141198.86388394822
50114.0,4541,2018-09-01,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True,0.3085678950191212,2018,13.403181643321037,252.439,19851.92462337436
400619.0,44Y72,2018-09-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675,2018,4.510758410551796,252.439,158699.32934293037
2578.0,44831,2018-09-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883,2018,-2.606724593879861,252.439,1021.236813646069
6384.0,451,2018-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False,0.1329579988257443,2018,-8.6564601516669,252.439,2528.9277805727324
3003.0,45431,2018-09-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976,2018,13.749999999999996,252.439,1189.5943178352
500033.0,44X72,2018-09-01,Retail Trade and Food Services,Retail Trade and Food Services,False,0.14685787363973846,2018,3.277821725328045,252.439,198080.7244522439
3040.0,4482,2018-09-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816,2018,0.06583278472680476,252.439,1204.2513240822534
