monthly_sales,category_code,time,category_name,high_level_category,is_subset,cv,year,yoy_growth,cpi_index,inflation_adjusted_sales
2424.0,45431,2017-01-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976,2017,NULL,242.839,998.1922178892187
3095.0,4482,2017-01-01,Shoe Stores,Clothing and Clothing Accessories Stores,True,0.13692203890623816,2017,NULL,242.839,1274.5069778742295
17183.0,4423X,2017-01-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385,2017,NULL,242.839,7075.881551151174
57359.0,722,2017-01-01,Food Services and Drinking Places,Food Services and Drinking Places,False,0.19492193263494256,2017,NULL,242.839,23620.176330820006
7774.0,4413,2017-01-01,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True,0.1433024713423359,2017,NULL,242.839,3201.2979793196314
22058.0,448,2017-01-01,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False,0.1604678192444514,2017,NULL,242.839,9083.38446460412
7682.0,443,2017-01-01,Electronics and Appliance Stores,Electronics and Appliance Stores,False,0.10050608283677352,2017,NULL,242.839,3163.4127961324166
12631.0,4521E,2017-01-01,Department Stores,Department Stores,False,0.08625376047961941,2017,NULL,242.839,5201.388574322906
801.0,44811,2017-01-01,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.2466110754983098,2017,NULL,242.839,329.84817101042256
3329.0,44812,2017-01-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283,2017,NULL,242.839,1370.8671177199708
6161.0,45299,2017-01-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059,2017,NULL,242.839,2537.0718871350978
21592.0,44611,2017-01-01,Pharmacies and Drug Stores,Health and Personal Care Stores,True,0.10447352198943238,2017,NULL,242.839,8891.48777585149
16175.0,4481,2017-01-01,Clothing Stores,Clothing and Clothing Accessories Stores,True,0.16157649531500107,2017,NULL,242.839,6660.79171796952
333700.0,44W72,2017-01-01,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True,0.15165527084301234,2017,NULL,242.839,137416.1481475381
373649.0,44Y72,2017-01-01,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True,0.15215800617347675,2017,NULL,242.839,153866.96535564715
4324.0,4453,2017-01-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873,2017,NULL,242.839,1780.6036097990852
316290.0,4400A,2017-01-01,"Retail Trade, ex Auto",Retail Trade and Food Services,True,0.14786202192215359,2017,NULL,242.839,130246.78902482714
28464.0,444,2017-01-01,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False,0.15026291940613784,2017,NULL,242.839,11721.346241748648
433070.0,44Z72,2017-01-01,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True,0.14600138047167524,2017,NULL,242.839,178336.26394442408
99370.0,441,2017-01-01,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False,0.13222117092684332,2017,NULL,242.839,40920.115796886
2569.0,44831,2017-01-01,Jewelry Stores,Clothing and Clothing Accessories Stores,True,0.16151059730989883,2017,NULL,242.839,1057.9025609560244
38852.0,45291,2017-01-01,Warehouse Clubs and Superstores,Other General Merchandise Stores,True,0.11960213558615292,2017,NULL,242.839,15999.077578148484
26390.0,446,2017-02-01,Health and Personal Care Stores,Health and Personal Care Stores,False,0.10392429670787862,2017,NULL,243.603,10833.19991954122
6109.0,45299,2017-02-01,All Other General Merchandise Stores,Other General Merchandise Stores,True,0.12345412382193059,2017,NULL,243.603,2507.768787740709
17110.0,4423X,2017-02-01,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False,0.10351229967573385,2017,NULL,243.603,7023.723024757494
3294.0,44812,2017-02-01,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True,0.14956574020784283,2017,NULL,243.603,1352.2000960579303
4302.0,4453,2017-02-01,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True,0.12317134392129873,2017,NULL,243.603,1765.9881035947833
2421.0,45431,2017-02-01,Fuel Dealers,Gasoline Stations,True,0.17230226571801976,2017,NULL,243.603,993.8301252447629
